filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
SHUF00000.jpg,291860,"{}",3,0,"{""name"":""point"",""cx"":1799,""cy"":832}","{}"
SHUF00000.jpg,291860,"{}",3,1,"{""name"":""point"",""cx"":1756,""cy"":1244}","{}"
SHUF00000.jpg,291860,"{}",3,2,"{""name"":""point"",""cx"":878,""cy"":1205}","{}"
SHUF00001.jpg,557918,"{}",3,0,"{""name"":""point"",""cx"":784,""cy"":1109}","{}"
SHUF00001.jpg,557918,"{}",3,1,"{""name"":""point"",""cx"":720,""cy"":1706}","{}"
SHUF00001.jpg,557918,"{}",3,2,"{""name"":""point"",""cx"":1893,""cy"":1671}","{}"
SHUF00002.jpg,423396,"{}",3,0,"{""name"":""point"",""cx"":770,""cy"":895}","{}"
SHUF00002.jpg,423396,"{}",3,1,"{""name"":""point"",""cx"":728,""cy"":1280}","{}"
SHUF00002.jpg,423396,"{}",3,2,"{""name"":""point"",""cx"":1611,""cy"":1272}","{}"
SHUF00003.jpg,177753,"{}",3,0,"{""name"":""point"",""cx"":575,""cy"":830}","{}"
SHUF00003.jpg,177753,"{}",3,1,"{""name"":""point"",""cx"":583,""cy"":1165}","{}"
SHUF00003.jpg,177753,"{}",3,2,"{""name"":""point"",""cx"":1486,""cy"":1126}","{}"
SHUF00004.jpg,516597,"{}",3,0,"{""name"":""point"",""cx"":2542,""cy"":1268}","{}"
SHUF00004.jpg,516597,"{}",3,1,"{""name"":""point"",""cx"":2517,""cy"":1863}","{}"
SHUF00004.jpg,516597,"{}",3,2,"{""name"":""point"",""cx"":1427,""cy"":1680}","{}"
SHUF00005.jpg,461866,"{}",3,0,"{""name"":""point"",""cx"":925,""cy"":1237}","{}"
SHUF00005.jpg,461866,"{}",3,1,"{""name"":""point"",""cx"":624,""cy"":1627}","{}"
SHUF00005.jpg,461866,"{}",3,2,"{""name"":""point"",""cx"":1866,""cy"":1445}","{}"
SHUF00006.jpg,344899,"{}",3,0,"{""name"":""point"",""cx"":397,""cy"":1039}","{}"
SHUF00006.jpg,344899,"{}",3,1,"{""name"":""point"",""cx"":757,""cy"":1252}","{}"
SHUF00006.jpg,344899,"{}",3,2,"{""name"":""point"",""cx"":1500,""cy"":1249}","{}"
SHUF00007.jpg,305573,"{}",3,0,"{""name"":""point"",""cx"":589,""cy"":731}","{}"
SHUF00007.jpg,305573,"{}",3,1,"{""name"":""point"",""cx"":508,""cy"":1137}","{}"
SHUF00007.jpg,305573,"{}",3,2,"{""name"":""point"",""cx"":1419,""cy"":1408}","{}"
SHUF00008.jpg,457525,"{}",3,0,"{""name"":""point"",""cx"":2007,""cy"":1564}","{}"
SHUF00008.jpg,457525,"{}",3,1,"{""name"":""point"",""cx"":2157,""cy"":1988}","{}"
SHUF00008.jpg,457525,"{}",3,2,"{""name"":""point"",""cx"":1086,""cy"":1579}","{}"
SHUF00009.jpg,296192,"{}",3,0,"{""name"":""point"",""cx"":1777,""cy"":808}","{}"
SHUF00009.jpg,296192,"{}",3,1,"{""name"":""point"",""cx"":1719,""cy"":1189}","{}"
SHUF00009.jpg,296192,"{}",3,2,"{""name"":""point"",""cx"":889,""cy"":1061}","{}"
SHUF00010.jpg,267872,"{}",3,0,"{""name"":""point"",""cx"":652,""cy"":861}","{}"
SHUF00010.jpg,267872,"{}",3,1,"{""name"":""point"",""cx"":593,""cy"":1214}","{}"
SHUF00010.jpg,267872,"{}",3,2,"{""name"":""point"",""cx"":1417,""cy"":1146}","{}"
SHUF00011.jpg,195560,"{}",3,0,"{""name"":""point"",""cx"":1768,""cy"":829}","{}"
SHUF00011.jpg,195560,"{}",3,1,"{""name"":""point"",""cx"":1772,""cy"":1169}","{}"
SHUF00011.jpg,195560,"{}",3,2,"{""name"":""point"",""cx"":850,""cy"":1258}","{}"
SHUF00012.jpg,309041,"{}",3,0,"{""name"":""point"",""cx"":271,""cy"":961}","{}"
SHUF00012.jpg,309041,"{}",3,1,"{""name"":""point"",""cx"":285,""cy"":1316}","{}"
SHUF00012.jpg,309041,"{}",3,2,"{""name"":""point"",""cx"":1148,""cy"":1184}","{}"
SHUF00013.jpg,209969,"{}",3,0,"{""name"":""point"",""cx"":618,""cy"":858}","{}"
SHUF00013.jpg,209969,"{}",3,1,"{""name"":""point"",""cx"":515,""cy"":1222}","{}"
SHUF00013.jpg,209969,"{}",3,2,"{""name"":""point"",""cx"":1437,""cy"":1087}","{}"
SHUF00014.jpg,147316,"{}",3,0,"{""name"":""point"",""cx"":517,""cy"":719}","{}"
SHUF00014.jpg,147316,"{}",3,1,"{""name"":""point"",""cx"":485,""cy"":1040}","{}"
SHUF00014.jpg,147316,"{}",3,2,"{""name"":""point"",""cx"":1201,""cy"":952}","{}"
SHUF00015.jpg,232093,"{}",3,0,"{""name"":""point"",""cx"":1809,""cy"":872}","{}"
SHUF00015.jpg,232093,"{}",3,1,"{""name"":""point"",""cx"":1752,""cy"":1209}","{}"
SHUF00015.jpg,232093,"{}",3,2,"{""name"":""point"",""cx"":816,""cy"":1149}","{}"
SHUF00016.jpg,290284,"{}",3,0,"{""name"":""point"",""cx"":1974,""cy"":1289}","{}"
SHUF00016.jpg,290284,"{}",3,1,"{""name"":""point"",""cx"":1858,""cy"":1621}","{}"
SHUF00016.jpg,290284,"{}",3,2,"{""name"":""point"",""cx"":1110,""cy"":1334}","{}"
SHUF00017.jpg,484592,"{}",3,0,"{""name"":""point"",""cx"":1777,""cy"":866}","{}"
SHUF00017.jpg,484592,"{}",3,1,"{""name"":""point"",""cx"":1769,""cy"":1195}","{}"
SHUF00017.jpg,484592,"{}",3,2,"{""name"":""point"",""cx"":899,""cy"":1159}","{}"
